t	x1	y1	x2	y2	x3	y3
5.16	-1.55604	1.95672	-1.35696	2.41538	-1.75511	1.49806
5.18	-1.50588	1.99558	-1.36288	2.47469	-1.64888	1.51646
5.2	-1.44721	2.03853	-1.35873	2.53064	-1.53568	1.54642
5.22	-1.37981	2.08474	-1.34302	2.58338	-1.4166	1.58609
5.24	-1.30355	2.13325	-1.31458	2.63313	-1.29252	1.63337
5.26	-1.21835	2.18303	-1.2726	2.68008	-1.1641	1.68598
5.28	-1.12425	2.23295	-1.21661	2.72435	-1.03188	1.74156
5.3	-1.02139	2.28183	-1.14649	2.76593	-0.896285	1.79774
5.32	-0.91007	2.32847	-1.06241	2.8047	-0.75773	1.85224
5.34	-0.790745	2.37165	-0.964825	2.84037	-0.616664	1.90293
5.36	-0.66403	2.4102	-0.854426	2.87253	-0.473634	1.94787
5.38	-0.530711	2.44302	-0.732092	2.90067	-0.32933	1.98537
5.4	-0.391737	2.46912	-0.598859	2.9242	-0.184615	2.01403
5.42	-0.248204	2.48765	-0.455876	2.94248	-0.0405327	2.03282
5.44	-0.101336	2.49795	-0.304371	2.95487	0.101699	2.04102
5.46	0.0475479	2.49955	-0.145621	2.96073	0.240717	2.03837
5.48	0.197066	2.49222	0.0190732	2.95947	0.37506	2.02498
5.5	0.345816	2.47597	0.188406	2.95054	0.503226	2.00139
5.52	0.492412	2.45103	0.36107	2.93347	0.623754	1.96859
5.54	0.635527	2.41787	0.535759	2.90782	0.735296	1.92793
5.56	0.773932	2.37719	0.711157	2.87323	0.836707	1.88115
5.58	0.906521	2.32985	0.885915	2.82943	0.927127	1.83028
5.6	1.03234	2.2769	1.05864	2.77621	1.00605	1.77759
5.62	1.15061	2.21948	1.22784	2.71348	1.07338	1.72548
5.64	1.26071	2.15884	1.39197	2.64131	1.12946	1.67638
5.66	1.36221	2.09628	1.54934	2.55994	1.17509	1.63261
5.68	1.45485	2.03308	1.6982	2.46987	1.2115	1.59629
5.7	1.53849	1.97054	1.83672	2.37187	1.24027	1.56922
5.72	1.61316	1.9099	1.96307	2.26706	1.26326	1.55273
5.74	1.67897	1.85231	2.07548	2.15691	1.28247	1.54771
5.76	1.73612	1.79885	2.17232	2.04326	1.29993	1.55445
5.78	1.78486	1.75051	2.25219	1.92828	1.31753	1.57273
5.8	1.82546	1.70812	2.31404	1.8144	1.33689	1.60184
5.82	1.8582	1.67245	2.35719	1.70427	1.35921	1.64064
5.84	1.88332	1.64411	2.38142	1.60056	1.38522	1.68766
5.86	1.90104	1.62359	2.38699	1.50591	1.41509	1.74128
5.88	1.91149	1.61127	2.37458	1.42274	1.4484	1.79981
5.9	1.91475	1.6074	2.34527	1.35314	1.48423	1.86166
5.92	1.9108	1.61209	2.30044	1.29876	1.52116	1.92543
5.94	1.89955	1.62534	2.24168	1.26071	1.55742	1.98996
5.96	1.8808	1.64699	2.17063	1.23955	1.59098	2.05443
5.98	1.8543	1.67677	2.08892	1.23523	1.61969	2.11831
6	1.8197	1.71426	1.99804	1.24714	1.64137	2.18137
6.02	1.77661	1.75888	1.89928	1.27416	1.65395	2.2436
6.04	1.7246	1.80991	1.79365	1.3147	1.65555	2.30512
6.06	1.66322	1.86647	1.6819	1.36682	1.64453	2.36612
6.08	1.59205	1.92753	1.56454	1.42829	1.61957	2.42677
6.1	1.51073	1.99191	1.44183	1.49668	1.57963	2.48714
6.12	1.41897	2.05828	1.31391	1.56944	1.52403	2.54712
6.14	1.31661	2.12521	1.18084	1.644	1.45239	2.60642
6.16	1.20366	2.19116	1.04268	1.71779	1.36464	2.66454
6.18	1.08031	2.25454	0.89959	1.78834	1.26102	2.72074
6.2	0.946957	2.31371	0.7519	1.85333	1.14201	2.7741
6.22	0.804264	2.3671	0.600162	1.91065	1.00837	2.82354
6.24	0.653116	2.41318	0.445189	1.95846	0.861043	2.8679
6.26	0.494645	2.45058	0.288076	1.99524	0.701214	2.90591
6.28	0.330204	2.4781	0.13019	2.01985	0.530218	2.93635
6.3	0.161337	2.49479	-0.0268655	2.03156	0.34954	2.95802
6.32	-0.0102608	2.49998	-0.181307	2.03015	0.160786	2.96981
6.34	-0.1828	2.49331	-0.33125	2.01585	-0.0343493	2.97076
6.36	-0.354451	2.47475	-0.474804	1.98945	-0.234099	2.96004
6.38	-0.52341	2.44459	-0.610176	1.95218	-0.436645	2.93701
6.4	-0.687958	2.40348	-0.735785	1.90577	-0.64013	2.90119
6.42	-0.846514	2.35232	-0.850366	1.85234	-0.842662	2.85231
6.44	-0.997687	2.2923	-0.953058	1.79429	-1.04232	2.7903
6.46	-1.14031	2.22479	-1.04348	1.73426	-1.23714	2.71533
6.48	-1.27346	2.15135	-1.12177	1.67492	-1.42514	2.62779
6.5	-1.39646	2.07362	-1.18858	1.61888	-1.60433	2.52836
6.52	-1.5089	1.9933	-1.24509	1.56856	-1.77271	2.41803
6.54	-1.61059	1.91206	-1.29286	1.526	-1.92833	2.29813
6.56	-1.70157	1.83157	-1.33381	1.49282	-2.06933	2.17032
6.58	-1.78204	1.75338	-1.37002	1.47011	-2.19406	2.03664
6.6	-1.85234	1.67894	-1.40361	1.4584	-2.30108	1.89948
6.62	-1.91293	1.60957	-1.43656	1.45766	-2.38929	1.76148
6.64	-1.9643	1.54646	-1.4706	1.46736	-2.45801	1.62555
6.66	-2.007	1.49062	-1.50701	1.48657	-2.50698	1.49467
6.68	-2.04154	1.44295	-1.54662	1.51406	-2.53646	1.37184
6.7	-2.0684	1.40418	-1.58966	1.54845	-2.54713	1.25991
6.72	-2.08798	1.37489	-1.63582	1.58832	-2.54014	1.16146
6.74	-2.1006	1.35553	-1.68425	1.6324	-2.51695	1.07867
6.76	-2.10645	1.34643	-1.73363	1.6796	-2.47927	1.01325
6.78	-2.10561	1.34774	-1.78229	1.72914	-2.42893	0.966345
6.8	-2.09801	1.35954	-1.82829	1.78054	-2.36774	0.938528
6.82	-2.08348	1.38171	-1.86956	1.83364	-2.29739	0.929785
6.84	-2.06167	1.41404	-1.90399	1.88853	-2.21935	0.939557
6.86	-2.03215	1.45614	-1.92954	1.9455	-2.13476	0.966785
