Time 	Torso x	 Torso y 	Head x 	Head y 	Arm x 	Arm y 	Thigh x 	Thigh y 	Tibia x 	Tibia y 	Foot x 	Foot y	Robot x 	Robot y
1.818	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.836	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.854	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.872	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.89	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.908	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.926	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.944	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.962	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.98	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.998	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.016	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.034	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.052	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.07	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.088	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.106	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.124	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.142	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.16	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.178	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.196	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.214	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.232	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.25	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.268	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.286	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.304	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
2.322	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
